	alamat	judul	
1	https://indeks.kompas.com/?site=nasional&date=2020-12-1&page=1	Disorot, Hubungan Antara Komisi Yudisial dengan Mahkamah Agung	
2	https://indeks.kompas.com/?site=nasional&date=2020-12-1&page=1	Ketua DPR Minta Pemerintah Sigap Mitigasi dan Tangani Bencana Alam di Sejumlah Daerah	
3	https://indeks.kompas.com/?site=nasional&date=2020-12-1&page=1	Istana Ungkap 5 Langkah untuk Otsus Papua yang Kedua	
4	https://indeks.kompas.com/?site=nasional&date=2020-12-1&page=1	Soal Rumah Digeruduk Pengunjuk Rasa, Mahfud: Kali Ini Mereka Ganggu Ibu Saya, Bukan Menko Polhukam	
5	https://indeks.kompas.com/?site=nasional&date=2020-12-1&page=1	Moeldoko Sebut Kondisi Geografis Jadi Kendala Tumpas Kelompok MIT	
6	https://indeks.kompas.com/?site=nasional&date=2020-12-1&page=1	Bila Reuni 212 Tetap Digelar di Monas, Polri Pastikan Bakal Bubarkan	
7	https://indeks.kompas.com/?site=nasional&date=2020-12-1&page=1	BST Jangan Dipakai Buat Beli Rokok, Kemensos: Ini Sesuai Pesan Presiden	
8	https://indeks.kompas.com/?site=nasional&date=2020-12-1&page=1	Jokowi Diminta Tak Dilematis Pilih Pengganti Edhy Prabowo	
9	https://indeks.kompas.com/?site=nasional&date=2020-12-1&page=1	Moeldoko Minta Masyarakat Tak Unjuk Kekuatan Respons Pemeriksaan Rizieq Shihab	
10	https://indeks.kompas.com/?site=nasional&date=2020-12-1&page=1	Satgas: Daerah Zona Merah Penularan Covid-19 Naik Hampir 2 Kali Lipat	
11	https://indeks.kompas.com/?site=nasional&date=2020-12-1&page=1	Keluarga Korban: Pemerintah Mau atau Tidak Tuntaskan Kasus Tragedi Semanggi	
12	https://indeks.kompas.com/?site=nasional&date=2020-12-1&page=1	Sepanjang Rumah Sakit Declare, Kemenkes: Biaya Perawatan Pasien Covid-19 Ditanggung Negara	
13	https://indeks.kompas.com/?site=nasional&date=2020-12-1&page=1	Sepekan, Angka Kematian Akibat Covid-19 Melonjak 35,6 Persen, Jawa Tengah Tertinggi	
14	https://indeks.kompas.com/?site=nasional&date=2020-12-1&page=1	Usai Bubarkan 10 Lembaga, Menpan RB: Tak Tutup Kemungkinan Institusi Lain Dibubarkan Juga	
15	https://indeks.kompas.com/?site=nasional&date=2020-12-1&page=1	Soal Perbedaan Data Covid-19, Jubir Satgas: Proses Sinkronisasi Butuh Waktu	
