	alamat	judul	
1	https://indeks.kompas.com/?site=nasional&date=2020-09-1&page=1	KPU, Bawaslu, dan Satgas Covid-19 Diminta Bahas Detail Protokol Kesehatan di Pilkada	pos
2	https://indeks.kompas.com/?site=nasional&date=2020-09-1&page=1	Satgas Sebut Mutasi Virus Corona D614G Tak Pengaruhi Tingkat Keparahan Pasien 	pos
3	https://indeks.kompas.com/?site=nasional&date=2020-09-1&page=1	UNJ Siapkan Gelar Doktor Honoris Causa untuk Ma'ruf Amin dan Erick Thohir	x
4	https://indeks.kompas.com/?site=nasional&date=2020-09-1&page=1	298 orang lolos seleksi administrasi calon anggota Ombudsman RI	x
5	https://indeks.kompas.com/?site=nasional&date=2020-09-1&page=1	BPOM: 1.800 Orang Daftar Jadi Relawan Uji Coba Vaksin Covid-19 Sinovac	pos
6	https://indeks.kompas.com/?site=nasional&date=2020-09-1&page=1	Badan Ketahanan Pangan: Ketersediaan 11 Bahan Pokok Aman hingga Akhir Tahun	x
7	https://indeks.kompas.com/?site=nasional&date=2020-09-1&page=1	Kritik Penerapan Ganjil Genap di DKI, Wakil Ketua Komisi V: Masyarakat Beralih ke Transportasi Umum, Ini Bahaya	x
8	https://indeks.kompas.com/?site=nasional&date=2020-09-1&page=1	100 Dokter Gugur, Satgas Covid-19 Singgung Jam Kerja dan Kualitas APD	neg
9	https://indeks.kompas.com/?site=nasional&date=2020-09-1&page=1	Kapolri Sebut Polwan Miliki Kesempatan yang Sama untuk Duduki Jabatan Strategis	x
10	https://indeks.kompas.com/?site=nasional&date=2020-09-1&page=1	Kejagung Periksa 5 Saksi dalam Kasus Dugaan Suap Jaksa Pinangki	x
11	https://indeks.kompas.com/?site=nasional&date=2020-09-1&page=1	Upaya Pemerintah Tanggulangi Kemiskinan akibat Pandemi Covid-19, dari Bansos hingga Subsidi bagi UMKM	pos
12	https://indeks.kompas.com/?site=nasional&date=2020-09-1&page=1	Novel Baswedan: Istri dan Empat Anak Saya Positif Covid-19	neg
13	https://indeks.kompas.com/?site=nasional&date=2020-09-1&page=1	Angka Kematian akibat Covid-19 Naik 24,4 Persen dalam Sepekan Terakhir	neg
14	https://indeks.kompas.com/?site=nasional&date=2020-09-1&page=1	Satgas Covid-19: Zona Merah Naik, dari 32 Kabupaten/Kota Jadi 65	neg
