	alamat	judul	
1	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=1	Sidang Kasus Kerumunan dan Tes Usap Rizieq Shihab Akan Digelar di PN Jakarta Timur	
2	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=1	Kritik Perpres soal Investasi Miras, Sekum Muhammadiyah: Pemerintah Mestinya Bina Moral Masyarakat	
3	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=1	Amien Rais Minta Jokowi Batalkan Perpres soal Investasi Miras	
4	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=1	Irjen Napoleon Sebut Tak Ada Fakta yang Buktikan Keterlibatannya dalam Kasus Djoko Tjandra	
5	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=1	IDI Sarankan Cakupan Penerima Insentif Terkait Penanganan Covid-19 Diperluas	
6	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=1	KPU Siapkan Data Pemilih Pemilu 2019 dan Pilkada 2020 untuk Vaksinasi Covid-19	
7	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=1	Lembaga Eijkman: Pendonor Plasma Konvalesen Tak Akan Alami Efek Samping	
8	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=1	Dirut PT PAL Budiman Saleh Segera Diadili Terkait Korupsi di PT DI	
9	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=1	Soal Pandemi Covid-19 Dapat Jadi Endemik, IDI: Masih Hipotesis	
10	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=1	Doni Monardo Ajak Penyintas Covid-19 Jadi Donor Plasma Konvalesen	
11	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=1	Besok, KPU dan Kemenkes Teken MoU Akses Data Pemilih untuk Vaksinasi Covid-19	
12	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=1	Pihak Kepolisian Tak Hadir, Sidang Praperadilan Rizieq Shihab Kembali Ditunda	
13	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=1	Vaksinasi Covid-19 di Lingkungan DPR Berjalan Tertib dan Sesuai Prokes	
14	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=1	IDI: Vaksinasi Cara Paling Etis Capai Herd Immunity	
15	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=1	Demokrat Anggap Jhoni Allen Memanipulasi Sejarah Pendirian Partai	
16	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=2	Polri: Virtual Police Sudah Kirim Peringatan ke 21 Akun Media Sosial	
17	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=2	Siap-siap, Pembukaan Seleksi CPNS Diumumkan Maret Ini	
18	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=2	"PMI Buka ""Call Center"" untuk Masyarakat yang Butuh Plasma Konvalesen"	
19	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=2	PMI Sebut Permintaan Plasma Konvalesen Harus dari Dokter yang Merawat	
20	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=2	KY Mulai Buka Pendaftaran Calon Hakim Agung Tahun 2021	
21	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=2	Kisah Plang Bertuliskan ‰ÛÏTidak Menerima Tamu yang Berperkara‰Û di Depan Ruangan Artidjo	
22	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=2	Tanggapi Tudingan Jhoni Allen ke SBY, DPP Demokrat: Mereka Kecewa Dipecat	
23	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=2	Hampir Setahun Pandemi, 325 Orang Dokter Meninggal akibat Covid-19 	
24	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=2	UPDATE 1 Maret: Kasus Baru Covid-19 Tersebar di 32 Provinsi, DKI Jakarta Terbanyak Dengan 2.058 Kasus	
25	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=2	Dugaan Korupsi BPJS Ketenagakerjaan, Kejagung Periksa Deputi Direktur Keuangan	
26	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=2	UPDATE 1 Maret: 35.684 Spesimen Diperiksa terkait Covid-19	
27	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=2	UPDATE 1 Maret: 1.002.218 Nakes Sudah Divaksinasi Dosis Kedua, 1.720.523 Dosis Pertama	
28	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=2	Kejagung Periksa 2 Saksi dalam Kasus Dugaan Korupsi Asabri	
29	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=2	UPDATE 1 Maret 2021: Tercatat Ada 153.074 Kasus Aktif di Tanah Air 	
30	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=2	UPDATE: Bertambah 159, Kasus Kematian akibat Covid-19 Kini 36.325	
31	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=3	UPDATE 1 Maret: Bertambah 9.212, Pasien Covid-19 Sembuh Kini 1.151.915 Orang	
32	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=3	UPDATE 1 Maret: Ada 73.434 Suspek Terkait Covid-19	
33	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=3	Ini Alasan Pemerintah Gunakan Istilah Vaksinasi Gotong Royong	
34	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=3	Donor Plasma Konvalesen, Doni Monardo: Tidak Menyeramkan	
35	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=3	UPDATE: Bertambah 6.680, Indonesia Kini Catat 1.341.314 Kasus Covid-19	
36	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=3	Guru Besar UI: Keamanan Vaksin Covid-19 Harus Dievaluasi	
37	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=3	Cerita Artidjo Alkostar yang Pernah Disantet Saat Menjabat Hakim Agung	
38	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=3	Doni Monardo Donasi Plasma Konvalesen Usai Dinyatakan Negatif Covid-19	
39	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=3	Polisi: Kelompok Teroris yang Ditangkap di Jatim Terkait dengan Upik Lawanga	
40	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=3	Polri: 12 Terduga Teroris di Jatim Sudah Rancang Bungker untuk Rakit Bom dan Senpi	
41	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=3	Mendagri Minta Kepala Daerah Beri Perhatian kepada Petugas Damkar	
42	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=3	Sosiolog Sebut Perlu Ada Lembaga Independen Tengahi Konflik ITE di Masyarakat	
43	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=3	Kemenkes Sebut Jadwal Jadi Masalah Pelaksanaan Vaksinasi Covid-19 Lansia	
44	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=3	Pemerintah Targetkan Vaksinasi Covid-19 terhadap Lansia Selesai Mei atau Juni 2021	
45	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=3	Jhoni Allen: AHY Berada di Puncak Gunung, tapi Tidak Pernah Mendaki	
46	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=4	Mendagri Harap Pemadam Kebakaran Bantu Bendung Penyebaran Covid-19	
47	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=4	Bahas RUU PKS, Pemerintah Tunggu Surat Resmi DPR	
48	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=4	Kuasa Hukum Minta Majelis Hakim Kabulkan Permohonan Justice Collaborator Brigjen Prasetijo	
49	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=4	Jhoni Allen Tuding SBY Hanya Sumbang Rp 100 Juta untuk Pemilu 2004	
50	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=4	Dipecat dari Demokrat, Jhoni Allen Akan Di-PAW dari DPR 	
51	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=4	Mendagri: Punya Beban Tugas dan Risiko, Petugas Damkar Belum Dapat Apresiasi Memadai	
52	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=4	Kudeta Partai Demokrat, Ibas: Jangan Diadu-adu antara Saya dan Mas AHY	
53	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=4	Lewat Video, Jhoni Allen Sebut SBY Bukan Pendiri Partai Demokrat	
54	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=4	Polri Sebut 12 Teroris yang Ditangkap di Jatim Rencanakan Aksi Teror	
55	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=4	Tangkap 12 Teroris di Jatim, Densus 88 Amankan Puluhan Butir Peluru hingga Busur Panah	
56	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=4	Fraksi PKS Minta Perpres soal Investasi Miras Dibatalkan, Dinilai Cederai Nilai Pancasila	
57	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=4	Video Beredar di Medsos, Jhoni Allen Tuding SBY Tak Berkeringat Dirikan Demokrat	
58	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=4	Proteksi Penyebaran Covid-19, Mendagri Ingatkan Petugas Damkar Tetap Patuhi Prokes	
59	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=4	Dewan Juri BHACA 2017 Usul Pencabutan Penghargaan untuk Nurdin Abdullah	
60	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=4	Menpan RB: Total Kebutuhan ASN untuk 2021 Sebanyak 1,3 Juta Orang	
61	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=5	"Wacana Revisi UU ITE, Gerindra: Yang Perlu Dihapus Itu ""Karet""-nya, Bukan Pasalnya"	
62	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=5	Soal Vaksinasi Mandiri, IDI Minta Pemerintah Perhatikan Pekerja yang Bukan Karyawan	
63	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=5	Tak Menyangka Nurdin Abdullah Tersangka, PAN: Dia Memiliki Visi dan Integritas saat Pimpin Bantaeng	
64	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=5	Pandemi, Mendagri Minta Petugas Pemadam Kebakaran Beradaptasi Saat Bertugas	
65	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=5	Nurdin Abdullah Tersangka KPK, Ini Sikap PKS selaku Partai Pengusung	
66	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=5	Tim Kajian UU ITE Minta Pendapat Dandhy Laksono, Ahmad Dhani, hingga Bintang Emon	
67	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=5	Ahmad Syaikhu Ingatkan Kader Susun Program yang Berdampak pada Capaian Kemenangan Elektoral	
68	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=5	Usai Meresmikan, Jokowi Langsung Mencoba KRL Lintas Yogya-Solo	
69	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=5	 Jokowi Ingin Seluruh Transportasi Massal di Indonesia Ramah Lingkungan	
70	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=5	Singgung Kerumunan di NTT, Presiden PKS: Keselamatan Rakyat Tampak Tak Jadi Prioritas Utama	
71	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=5	Jokowi Harap Beroperasinya KRL Yogyakarta-Solo Tingkatkan Pariwisata	
72	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=5	Kritik Penanganan Pandemi, Presiden PKS: Bangsa Indonesia Masih Dalam Kondisi yang Tidak Baik-baik Saja	
73	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=5	Saat Artidjo Alkostar Berikan Vonis Bebas kepada ‰ÛÏOffice Boy‰Û yang Dijerat Kasus Korupsi‰Û_	
74	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=5	Wapres Ingin Dakwah dan Pendidikan Beradaptasi dengan Teknologi Informasi	
75	https://indeks.kompas.com/?site=nasional&date=2021-3-1&page=5	Mahfud Kenang Ketegasan Artidjo Beri Hukuman Berlipat ke Sesama Alumni HMI	
76	https://indeks.kompas.com/?site=nasional&date=2021-3-2&page=1	Aturan Investasi Miras Dicabut, Yusril: Presiden Harus Terbitkan Perpres Baru	
77	https://indeks.kompas.com/?site=nasional&date=2021-3-2&page=1	Pertemuan Menlu ASEAN, Indonesia Tekankan Tiga Isu untuk Bantu Myanmar	
